file_name,true_text,whisper_text,whisper_runtime,whisper_wer,wav2vec2_text,wav2vec2_runtime,wav2vec2_wer
common_voice_fa_18960256.mp3,خب ، تو چیكار می كنی؟, توب تو چکرن کنی,4.35,0.833,خوب تو چیکار می کنی,1.11,0.667
common_voice_fa_35176695.mp3,مسابقه, بو سا بره,2.39,3.0,بسابقه,0.59,1.0
common_voice_fa_18325365.mp3,از مهمونداری کنار بکشم, از مهما داری کنار بکشم,3.18,0.5,از مهمانداری کنار بکشم,0.68,0.25
common_voice_fa_20991987.mp3,شورای عالی برنامه ریزی وزارت علوم، تحقیقات و فناوری," شورای آریه برنامه وزیه وزارت علوم, تقیقات و فرنووری",4.05,0.556,شورای عالی برنامهریزی وزارت علوم تحقیقات و فنآوری,1.89,0.444
common_voice_fa_21579187.mp3,من واسه همه سایه بونم ، بدون این که بدونم, من وصح همه سایبون هم بذنه این که بذنه,3.69,0.6,من واسه همه سایبونم بدون اینکه بدونم,1.12,0.5
common_voice_fa_23648994.mp3,از شما در خواست خرید کالایی را دارند،, از شما در خاصت خرید کالا ایرادارت,3.57,0.5,از شما درخواست خرید کالایی را دارند,1.36,0.375
common_voice_fa_18621705.mp3,نمی تونه سرشو بندازه پایین بیاد اینجا, ویم تو نسار شربین دهز پایم بیری دین جو,3.58,1.286,نه متونه سر شرو بنداز پایین بی ایادی اینجا,0.96,1.0
common_voice_fa_27543228.mp3,جنگ افزارهای ساده, چنگ افضار خایه سادي,2.85,1.333,جنگفزارهای ساده,1.33,0.667
common_voice_fa_22779361.mp3,ابوالحسن, او الاسم,2.49,2.0,اپال عسن,1.22,2.0
common_voice_fa_18443630.mp3,کسی جلو نیاد خون جلو چشامو گرفته., چاسی جلو نا یاد خون جلو ششانه یه روشتی,3.62,0.857,کسی جلو نیاد خون جلوش شامو گرفته,1.08,0.429
common_voice_fa_19208010.mp3,اعصابم اون شب خورد بود, هستاب هم ام امشه بفوردید,2.96,1.0,حسابم اونشب خورد بود,1.38,0.6
common_voice_fa_18557643.mp3,دو استایل متفاوت دارین, دو بسر لمتفا و دریم,2.82,1.0,دوبوست داریل و متفاوت بری,0.82,1.0
common_voice_fa_19211988.mp3,او قله ی اورست را فتح می کند, او قولی او از رسطر فاده,3.35,0.875,او قلهی امرست را فرطل می کند,0.99,0.5
common_voice_fa_19208900.mp3,برای توضیح بیشتر خوب است عرض کنم که من روز گذشته خواسته بودم او را دستگیر کنم, برای توزیه بیشتر خوب است ارس کنم که من روز گزشته خسته بودم اورا دستگیر کنم,4.6,0.353,برای توزیح بیشتر خوب است عرض کنم که من روز گذشته خواسته بودم او را دستگیر کنم,1.84,0.059
common_voice_fa_21001423.mp3,مجمع بینالمللی انرژی, مهز می بینون مدلین ایفریجی,2.81,1.667,مجمعه بینالمللی نرژی,0.83,0.667
common_voice_fa_18636711.mp3,ما با هم خیلی مچ هستیم, هلو یک تو سه یک تو سه سیدامی آت ای خوداره ام شب شب اخر همه همه همه همه,4.78,3.167,هلو یک دوسه یک دوسه صدا میاد کو داره  امشب شب آخره همه همه همه,1.9,2.5
common_voice_fa_20072771.mp3,خوشمزه است., از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از ا,26.74,64.0,من,0.65,1.0
common_voice_fa_23560395.mp3,اینجوری بهتره هر دو به سمت بیرون میروند, اینجوری بیت ها لکن هر تو کسم دی بیرون میلا واند,3.7,1.0,اینجوری بهتره هردو به سمت بیرون می رون,1.42,0.5
common_voice_fa_30444290.mp3,خوشه های زرین گندم, خوشهای زرین نیجندوم,2.73,0.75,خوشه های ضرینه گندم,0.83,0.25
common_voice_fa_19921371.mp3,اینجا خیلی گرم است., اینجا خید گرمست,2.79,0.75,اینجا خیلی گرم است,0.68,0.25
common_voice_fa_19887398.mp3,ساعت های کاری چیست؟, این چون که این چنی خوابه,2.86,1.5,این توری که موشیکل خب,0.57,1.25
common_voice_fa_30441718.mp3,استالین رقیبان خود را یکی پس از دیگری نابود کرد., اصدین رقیمن خود را یکی پس از دیگری ناوود کرد.,3.63,0.3,استالین رقیبان خود را یکی پس از دیگری نابود کرد,1.05,0.1
common_voice_fa_19661612.mp3,آیا هنوز چیزی خورده ای؟, آیا هنوز چیزی خورده؟,2.87,0.4,آیا هنوز چیزی خوردی,1.05,0.4
common_voice_fa_21588677.mp3,من کرد هستم, من کل هستن,2.45,0.667,من کور هستم,1.12,0.333
common_voice_fa_19216636.mp3,حالا من اون احمقه هستم, حالو منون اهماقه استا,2.67,1.0,حالا من اون احمقه هستم,1.71,0.0
common_voice_fa_20934224.mp3,بپر برو دو تا بربری بگیر بیار., بپر بردو دو تا بایوری ویدیر بیا,3.21,0.571,بپر برو دو تا برابری بگیر بیار,0.85,0.286
common_voice_fa_35051675.mp3,آیا حضرت عالی مرا صدا زدید؟, آیو حضرت آلین مراست دازد ایند,2.94,0.833,آیا حدرت عالی مرا صدا زدید,0.84,0.333
common_voice_fa_19187801.mp3,نه تنها در تشخیصشان، بلکه در تمام کارهایی که انجام میدهند, اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه,27.11,13.455,میفهمیآری,2.55,1.0
common_voice_fa_19218408.mp3,من هیجان زده هستم, من های اجونز ده از نم,2.82,1.25,من هیجان زاده هستم,0.82,0.25
common_voice_fa_32819217.mp3,ساندویچ نیمه خورده, سندیوی چنیم خورده,2.91,0.667,ساندویچ نیمه خورده,0.92,0.0
common_voice_fa_28947647.mp3,اکبر به خشم آمد و گفت..., اتفاق از افعال مدوخور,3.01,1.0,اکور به فشمام دقهت,1.62,0.833
common_voice_fa_18989155.mp3,می خواهم وقتی بزرگ شدی مانند این مداد شوی, از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از اینجای از ا,27.86,14.222,مشنتخ  رتم,0.68,1.0
common_voice_fa_21826686.mp3,کشور گابن بزرگترین تولیدکننده منگنز در جهان است, کشفرک گابون بزوکترین توالیت کانندی منگنز در جهان است,3.79,0.625,کشور گابون بزرگترین تولینکنندهای منگنز در جهان است,1.47,0.25
common_voice_fa_36462504.mp3,زره پا، رانین, زیره پا خرونین,2.57,1.0,زره پاک پرانین,0.74,0.667
common_voice_fa_21653951.mp3,ما تحقیقات انجام می دادیم, ما تحرقات انجام می دو تین,3.02,0.6,ما تحقیقات انجام می دادیم,1.2,0.0
common_voice_fa_19489934.mp3,او سینه مرغ می خواهد., او سینی مورک میخواهر,2.64,0.8,او سینه مرغ میخواهد,0.59,0.4
common_voice_fa_27232609.mp3,او پولم را زد., او پولم را زد,2.41,0.25,او پولم را زد,1.79,0.25
common_voice_fa_20901694.mp3,سازمان قضایی نیروهای مسلح, سازمان قزيه نیروهای موزل,2.86,0.5,سازمان غذایی نیروهای مسلح,0.87,0.25
common_voice_fa_19225644.mp3,بعضی وقت ها فکر می کنم, بزی و اختف فکرم کنم,2.68,0.833,بعضی وقتا فکر می کنم,1.25,0.333
common_voice_fa_30362348.mp3,ترحم او را شدیدا تحت تاثیر قرار داد., ترحون اورو شدیدن تحت تصیر غروردد.,3.17,0.875,ترهم او را شدیدا تحت تاثیر قرار داد,1.77,0.25
common_voice_fa_21582570.mp3,تخمک گذاری چیست؟, تو اخمای گزاری چیست,2.56,1.333,سخمیگذاری چیست,0.48,1.0
common_voice_fa_23583225.mp3,میشه راهی برای برد پیدا کرد, میشه راهی برای بورد پیدا کرد,2.83,0.167,میشه راهی برای برد پیدا کرد,0.75,0.0
common_voice_fa_18616088.mp3,باشه من بهت زنگ می زنم, بوشه این بهید سایمی سایم,2.93,1.0,باشه من بهت زنگ مي زنم,0.78,0.167
